shelterId,shelterName,plateauBuildingId,plateauGmlId,matchMethod,matchDistanceMeters,confidence,manualReviewNeeded,warnings,sourceMeshCode
chuo_official_emergency_001,城東小学校,13102-bldg-3742,bldg_25d370de-2c35-457b-b756-3444a3d02eb3,contains,0.0,high,False,[],53394611
chuo_official_emergency_002,京橋プラザ,13102-bldg-8069,bldg_b79d201f-b27b-4e20-b342-fb09087fb41d,contains,0.0,high,False,[],53394601
chuo_official_emergency_003,泰明小学校,13102-bldg-5702,bldg_932d32e9-22aa-492c-980d-c1bf7cc0f79b,contains,0.0,high,False,[],53394600
chuo_official_emergency_004,銀座中学校,13102-bldg-3140,bldg_0a55bdd2-72f8-4464-b4df-1da32ec57f02,contains,0.0,high,False,[],53393691
chuo_official_emergency_005,中央小学校,13102-bldg-3228,bldg_7c79b5e1-dddc-4c1b-acbf-694a96b559b7,contains,0.0,high,False,[],53394602
chuo_official_emergency_006,明石小学校,13102-bldg-3751,bldg_ccdc4e97-2b53-462a-b188-7b75c84d30b5,contains,0.0,high,False,[],53394602
chuo_official_emergency_007,京橋築地小学校,13102-bldg-2853,bldg_74bfe18f-c482-4385-b52f-02aaaf3dcc34,contains,0.0,high,False,[],53394601
chuo_official_emergency_008,京華スクエア,13102-bldg-8277,bldg_228dc70f-56a0-453b-bcd6-3eec08bb3504,contains,0.0,high,False,[],53394602
chuo_official_emergency_009,明正小学校,13102-bldg-11364,bldg_79e83e58-9d57-4934-b422-191a0d1a0727,contains,0.0,high,False,[],53394612
chuo_official_emergency_010,常盤小学校,13102-bldg-2872,bldg_be0b4c30-e006-40a6-8952-be27fbbc620e,contains,0.0,high,False,[],53394621
chuo_official_emergency_011,十思スクエア,13102-bldg-15570,bldg_692282aa-7aed-474a-8182-51b2b958c65a,contains,0.0,high,False,[],53394622
chuo_official_emergency_012,日本橋小学校,13102-bldg-12810,bldg_32def57b-ec59-414c-9748-f455b4a65a51,nearest,13.45,medium,True,"[""shelter point is outside PLATEAU footprint; nearest-building match requires review""]",53394622
chuo_official_emergency_013,有馬小学校,13102-bldg-12391,bldg_4a32eca7-6527-4776-94a2-9f9fc0ed5930,contains,0.0,high,False,[],53394613
chuo_official_emergency_014,久松小学校,13102-bldg-14859,bldg_0cc7b33b-161f-4893-9753-3494f4d1ef69,contains,0.0,high,False,[],53394622
chuo_official_emergency_015,日本橋中学校,13102-bldg-15963,bldg_34c149ac-2d23-4c9a-bdf3-c32684ba631b,contains,0.0,high,False,[],53394632
chuo_official_emergency_016,阪本小学校,13102-bldg-10474,bldg_70594176-a51a-4425-b8b2-b75edbdef7a1,contains,0.0,high,False,[],53394612
chuo_official_emergency_017,佃島小学校,13102-bldg-8511,bldg_3ca362a4-293c-4ac2-bfbb-018a20677e1a,contains,0.0,high,False,[],53394602
chuo_official_emergency_018,佃中学校,13102-bldg-8511,bldg_3ca362a4-293c-4ac2-bfbb-018a20677e1a,contains,0.0,high,False,[],53394602
chuo_official_emergency_019,月島第一小学校,13102-bldg-5099,bldg_1b30504b-e662-41fb-8da6-219dcef2b1a4,contains,0.0,high,False,[],53393692
chuo_official_emergency_020,月島第二小学校,13102-bldg-9813,bldg_997fde71-9138-4d1a-ba84-6ff57047e6a7,contains,0.0,high,False,[],53393692
chuo_official_emergency_021,月島第三小学校,13102-bldg-7675,bldg_28476e16-ba7c-4fe3-bf1d-90cf577fe301,nearest,0.075,high,True,"[""shelter point is outside PLATEAU footprint; nearest-building match requires review""]",53393692
chuo_official_emergency_022,晴海中学校,13102-bldg-1478,bldg_f843c6a2-8d52-4dcc-bc01-bc7d0ede2733,contains,0.0,high,False,[],53393692
chuo_official_emergency_023,豊海小学校,13102-bldg-2954,bldg_01c61dfd-c5c9-454f-afbc-662aa6709160,nearest,7.215,medium,True,"[""shelter point is outside PLATEAU footprint; nearest-building match requires review"",""nearest_match_semantic_review_needed"",""nearest PLATEAU building height is missing"",""nearest PLATEAU building floor count is low or uncertain"",""nearest PLATEAU building usage is raw, unknown, or not semantically interpreted in P5-B""]",53393681
chuo_official_emergency_024,中央区役所,13102-bldg-10473,bldg_35741517-9a06-4d9b-81ed-d11ec2576b30,contains,0.0,high,False,[],53394601
chuo_official_emergency_025,日本橋区民センター,13102-bldg-12306,bldg_8df3166b-df28-4208-9fbd-883cf98547a8,contains,0.0,high,False,[],53394612
chuo_official_emergency_026,月島区民センター,13102-bldg-3852,bldg_fee39d2c-fd06-4f35-b0a1-a093a3e16fd5,contains,0.0,high,False,[],53393692
chuo_official_emergency_027,(旧)ほっとプラザはるみ,13102-bldg-525,bldg_c64d9bf2-61ed-48d8-8315-8efadf440863,contains,0.0,high,False,[],53393681
chuo_official_emergency_028,あかつき公園一帯,,,unmatched,,low,True,"[""official source appears to describe a broad evacuation area rather than a single building"",""manual QGIS review required before assigning any PLATEAU building""]",53393691
chuo_official_emergency_029,新川ツインビル地区,,,unmatched,,low,True,"[""official source appears to describe a broad evacuation area rather than a single building"",""manual QGIS review required before assigning any PLATEAU building""]",53394612
chuo_official_emergency_030,佃リバーシティ地区,,,unmatched,,low,True,"[""official source appears to describe a broad evacuation area rather than a single building"",""manual QGIS review required before assigning any PLATEAU building""]",53393692
chuo_official_emergency_031,晴海地区,,,unmatched,,low,True,"[""official source appears to describe a broad evacuation area rather than a single building"",""manual QGIS review required before assigning any PLATEAU building""]",53393682
